method n p rho rep time mse
0 1000 100 0.95 1 0.549 0.070457289934035
1 1000 100 0.95 1 0.048 0.0704572899340322
2 1000 100 0.95 1 0.0220000000000002 1.10681563123511
3 1000 100 0.95 1 0.0330000000000004 0.171510621757697
0 1000 100 0.95 2 0.449 0.078469698945059
1 1000 100 0.95 2 0.0410000000000004 0.0784696989450579
2 1000 100 0.95 2 0.0220000000000002 1.41223079977381
3 1000 100 0.95 2 0.0319999999999991 0.172805411282663
0 1000 100 0.95 3 0.484 0.0737939410203112
1 1000 100 0.95 3 0.0430000000000001 0.0737939410203091
2 1000 100 0.95 3 0.0199999999999996 1.83504179205769
3 1000 100 0.95 3 0.0299999999999994 0.173057577918211
