method n p rho rep time mse
0 100 5000 0.2 1 0.7 0.0310712985152284
1 100 5000 0.2 1 0.823999999999999 0.0310712985152284
2 100 5000 0.2 1 0.0419999999999998 0.0332129346952456
3 100 5000 0.2 1 0.0300000000000011 0.0332129551717281
0 100 5000 0.2 2 0.205 0.0303375259882365
1 100 5000 0.2 2 0.597 0.0303375259882366
2 100 5000 0.2 2 0.0199999999999996 0.0332119051814949
3 100 5000 0.2 2 0.0289999999999999 0.0332119335785712
0 100 5000 0.2 3 0.169 0.0314408737823485
1 100 5000 0.2 3 0.532 0.0314408737823483
2 100 5000 0.2 3 0.0159999999999982 0.0332137093705789
3 100 5000 0.2 3 0.0330000000000013 0.0332137253836457
